--------------------------------------------------------------------
    Bytes Format Units   Label    Explanations
--------------------------------------------------------------------
    1-  5  F5.2  [cm/s2] logg     [0/5] Surface gravity
    7- 12  F6.0  K       Teff     [2000/50000] Effective temperature
   14- 17  F4.1  [Sun]   Z        [-5/1] Metallicity (log[M/H])
   19- 22  F4.1  km/s    xi       [0/8] Microturbulent velocity
   24- 30  F7.4  ---     a        Quadratic ld coefficient a (G2)
   32- 38  F7.4  ---     b        Quadratic ld b (G2)
   40- 41  A2    ---     Filt     Filter (G1)
   43      A1    ---     Met      [LF] Method 
   45- 51  A7    ---     Mod      Model (ATLAS or PHOENIX)
---------------------------------------------------------------------
 1.50   6750 -5.0  2.0  0.4653  0.1563 Kp L ATLAS 
 2.00   6750 -5.0  2.0  0.4672  0.1499 Kp L ATLAS 
 2.50   6750 -5.0  2.0  0.3037  0.2803 Kp L ATLAS 
 3.00   6750 -5.0  2.0  0.2871  0.2951 Kp L ATLAS 
 3.50   6750 -5.0  2.0  0.2874  0.2948 Kp L ATLAS 
 4.00   6750 -5.0  2.0  0.2837  0.2978 Kp L ATLAS 
 4.50   6750 -5.0  2.0  0.2779  0.3022 Kp L ATLAS 
 5.00   6750 -5.0  2.0  0.2668  0.3103 Kp L ATLAS 
 0.50   7000 -5.0  2.0  0.4333  0.1913 Kp L ATLAS 
 1.00   7000 -5.0  2.0  0.4381  0.1821 Kp L ATLAS 
 1.50   7000 -5.0  2.0  0.4406  0.1750 Kp L ATLAS 
 2.00   7000 -5.0  2.0  0.4378  0.1740 Kp L ATLAS 
 2.50   7000 -5.0  2.0  0.4406  0.1667 Kp L ATLAS 
 3.00   7000 -5.0  2.0  0.2824  0.2926 Kp L ATLAS 
 3.50   7000 -5.0  2.0  0.2734  0.3005 Kp L ATLAS 
 4.00   7000 -5.0  2.0  0.2736  0.3001 Kp L ATLAS 
 4.50   7000 -5.0  2.0  0.2718  0.3012 Kp L ATLAS 
 5.00   7000 -5.0  2.0  0.2637  0.3069 Kp L ATLAS 
 1.00   7250 -5.0  2.0  0.3985  0.2153 Kp L ATLAS 
 1.50   7250 -5.0  2.0  0.4068  0.2020 Kp L ATLAS 
 2.00   7250 -5.0  2.0  0.4115  0.1928 Kp L ATLAS 
 2.50   7250 -5.0  2.0  0.4113  0.1904 Kp L ATLAS 
 3.00   7250 -5.0  2.0  0.4154  0.1823 Kp L ATLAS 
 3.50   7250 -5.0  2.0  0.2632  0.3025 Kp L ATLAS 
 4.00   7250 -5.0  2.0  0.2595  0.3057 Kp L ATLAS 
 4.50   7250 -5.0  2.0  0.2613  0.3041 Kp L ATLAS 
 5.00   7250 -5.0  2.0  0.2576  0.3062 Kp L ATLAS 
 1.00   7500 -5.0  2.0  0.3627  0.2416 Kp L ATLAS 
 1.50   7500 -5.0  2.0  0.3672  0.2330 Kp L ATLAS 
 2.00   7500 -5.0  2.0  0.3780  0.2176 Kp L ATLAS 
 2.50   7500 -5.0  2.0  0.3844  0.2082 Kp L ATLAS 
 3.00   7500 -5.0  2.0  0.3856  0.2058 Kp L ATLAS 
 3.50   7500 -5.0  2.0  0.3895  0.1987 Kp L ATLAS 
 4.00   7500 -5.0  2.0  0.2523  0.3084 Kp L ATLAS 
 4.50   7500 -5.0  2.0  0.2491  0.3091 Kp L ATLAS 
 5.00   7500 -5.0  2.0  0.2473  0.3094 Kp L ATLAS 
 1.50   7750 -5.0  2.0  0.3313  0.2577 Kp L ATLAS 
 2.00   7750 -5.0  2.0  0.3389  0.2464 Kp L ATLAS 
 2.50   7750 -5.0  2.0  0.3524  0.2295 Kp L ATLAS 
 3.00   7750 -5.0  2.0  0.3590  0.2223 Kp L ATLAS 
 3.50   7750 -5.0  2.0  0.3607  0.2208 Kp L ATLAS 
 4.00   7750 -5.0  2.0  0.3644  0.2145 Kp L ATLAS 
 4.50   7750 -5.0  2.0  0.2347  0.3162 Kp L ATLAS 
 5.00   7750 -5.0  2.0  0.2353  0.3143 Kp L ATLAS 
 1.50   8000 -5.0  2.0  0.3032  0.2735 Kp L ATLAS 
 2.00   8000 -5.0  2.0  0.3056  0.2674 Kp L ATLAS 
 2.50   8000 -5.0  2.0  0.3162  0.2544 Kp L ATLAS 
 3.00   8000 -5.0  2.0  0.3301  0.2389 Kp L ATLAS 
 3.50   8000 -5.0  2.0  0.3353  0.2352 Kp L ATLAS 
 4.00   8000 -5.0  2.0  0.3365  0.2353 Kp L ATLAS 
 4.50   8000 -5.0  2.0  0.3398  0.2298 Kp L ATLAS 
 5.00   8000 -5.0  2.0  0.2200  0.3219 Kp L ATLAS 
 2.00   8250 -5.0  2.0  0.2802  0.2798 Kp L ATLAS 
 2.50   8250 -5.0  2.0  0.2854  0.2724 Kp L ATLAS 
 3.00   8250 -5.0  2.0  0.2977  0.2592 Kp L ATLAS 
 3.50   8250 -5.0  2.0  0.3111  0.2459 Kp L ATLAS 
 4.00   8250 -5.0  2.0  0.3129  0.2481 Kp L ATLAS 
 4.50   8250 -5.0  2.0  0.3144  0.2478 Kp L ATLAS 
 5.00   8250 -5.0  2.0  0.2098  0.3266 Kp L ATLAS 
 1.50   8500 -5.0  2.0  0.2712  0.2831 Kp L ATLAS 
 2.00   8500 -5.0  2.0  0.2615  0.2860 Kp L ATLAS 
 2.50   8500 -5.0  2.0  0.2617  0.2825 Kp L ATLAS 
 3.00   8500 -5.0  2.0  0.2705  0.2734 Kp L ATLAS 
 3.50   8500 -5.0  2.0  0.2830  0.2618 Kp L ATLAS 
 4.00   8500 -5.0  2.0  0.2935  0.2530 Kp L ATLAS 
 4.50   8500 -5.0  2.0  0.2918  0.2601 Kp L ATLAS 
 5.00   8500 -5.0  2.0  0.2912  0.2612 Kp L ATLAS 
 2.00   8750 -5.0  2.0  0.2491  0.2875 Kp L ATLAS 
 2.50   8750 -5.0  2.0  0.2451  0.2866 Kp L ATLAS 
 3.00   8750 -5.0  2.0  0.2492  0.2815 Kp L ATLAS 
 3.50   8750 -5.0  2.0  0.2581  0.2739 Kp L ATLAS 
 4.00   8750 -5.0  2.0  0.2699  0.2639 Kp L ATLAS 
 4.50   8750 -5.0  2.0  0.2740  0.2635 Kp L ATLAS 
 5.00   8750 -5.0  2.0  0.2713  0.2717 Kp L ATLAS 
 1.50   9000 -5.0  2.0  0.2613  0.2799 Kp L ATLAS 
 2.00   9000 -5.0  2.0  0.2403  0.2879 Kp L ATLAS 
 2.50   9000 -5.0  2.0  0.2331  0.2879 Kp L ATLAS 
